MJD,mag,mag_err
54922.8980671,7.81456,0.01945
54922.9064004,7.87116,0.01926
54922.9070949,7.83006,0.01897
54925.1515393,7.98422,0.02062
54925.1522337,7.92632,0.02121
54925.1529282,7.97262,0.0218
54925.1536226,7.92712,0.02082
54925.1543402,7.93152,0.02102
54925.1550231,8.01512,0.02072
54925.1557175,8.01082,0.02102
54925.156412,8.06142,0.02151
54925.1570949,7.99852,0.022
54925.1577893,7.99772,0.02102
54926.0168287,8.20717,0.04522
54926.0251504,7.76647,0.06096
54926.0265509,8.34487,0.04064
54926.0272453,8.24727,0.03826
54926.0279282,8.32177,0.04094
54926.0286226,8.42187,0.04323
54926.0473726,8.08267,0.03756
54926.0487615,7.93177,0.03043
54926.049456,7.95427,0.03003
54926.0501504,7.90267,0.03052
54926.0508564,7.86187,0.02983
54926.0515393,7.83027,0.02825
54926.0522337,7.89487,0.03033
54926.0529282,7.82107,0.02716
54926.0536458,7.79247,0.02776
54926.0543287,7.80997,0.02687
54926.0550115,7.83677,0.02815
54926.055706,7.81037,0.03092
54926.949456,7.70134,0.02448
54926.9508449,7.68364,0.02428
54926.9515393,7.66884,0.02448
54926.9848726,7.76624,0.02557
54927.8793171,8.23728,0.03851
54927.8897453,8.11678,0.03416
54927.8904398,8.13428,0.03584
54931.8730671,8.34947,0.03317
54931.8758449,8.27407,0.03089
54931.8765393,8.15417,0.03128
54931.8772453,8.22697,0.03138
54931.8779282,8.15737,0.03168
54931.8786226,8.09468,0.03148
54933.8689004,8.14267,0.02848
54933.874456,8.14837,0.02729
54933.8751504,8.15477,0.02729
54933.8758449,8.07497,0.02532
54933.8765625,8.06347,0.02582
54933.8772453,8.09647,0.02582
54933.8779398,8.04897,0.027
54933.8786458,8.05637,0.02601
54934.0487615,7.91637,0.03213
54934.049456,7.88807,0.03263
54934.0515393,7.85467,0.03184
54934.0522337,7.78157,0.03085
54934.9925231,7.67008,0.01869
54934.9945949,7.73278,0.01967
54934.9953125,7.66778,0.02075
54934.9959837,7.66498,0.01938
54935.9716782,7.83184,0.01721
54935.9723726,7.78434,0.01721
54935.9730787,7.79354,0.0174
54935.9737615,7.82714,0.0174
54935.9751504,7.79534,0.01731
54936.0001504,7.88124,0.01778
54936.0008449,7.89024,0.01835
54936.887662,8.05268,0.0219
54936.8883449,8.06728,0.0218
54936.8890393,8.03728,0.02131
54936.8897337,8.02418,0.02111
54936.8904282,8.00458,0.02062
54936.8911226,8.00828,0.02062
54936.9112615,7.80208,0.01718
54936.911956,7.79768,0.01718
54937.8925115,7.98889,0.01952
54937.893206,7.95689,0.01982
54937.8939004,7.93119,0.02001
54937.8945949,7.95199,0.01962
54937.8952893,7.89149,0.01913
54937.8959837,7.92929,0.01992
54937.8966782,7.92179,0.01962
54937.9383449,7.57959,0.01599
54939.0980671,7.70835,0.01755
54939.0987615,7.72045,0.01765
54939.099456,7.64795,0.01706
54939.1001504,7.70465,0.01794
54939.1008564,7.71575,0.01804
